x	y	res
108	39	1
74	110	1
211	178	1
210	189	1
206	30	1
70	124	1
125	36	1
146	296	1
81	267	1
217	252	1
126	134	1
37	126	1
73	126	1
85	82	1
119	90	1
35	117	1
207	95	1
151	82	1
122	49	1
101	134	1
138	104	1
221	100	1
159	274	1
134	161	1
252	231	1
156	95	1
202	240	1
252	236	1
218	265	1
79	138	1
15	299	0
5	155	0
84	136	0
187	12	0
162	192	0
143	344	0
253	112	0
273	50	0
338	245	0
160	250	0
77	171	0
230	330	0
193	283	0
180	58	0
68	312	0
296	53	0
78	164	0
54	132	0
65	56	0
66	75	0
114	233	0
140	180	0
269	187	0
214	31	0
259	134	0
50	104	0
116	292	0
231	192	0
135	241	0
161	172	0
164	172	0
149	60	0
268	45	0
269	111	0
71	181	0
270	260	0
75	234	0
46	189	0
118	114	0
226	261	0
211	227	0
97	117	0
165	18	0
137	334	0
3	227	0
83	157	0
333	196	0
156	91	0
58	68	0
274	55	0
314	95	0
22	42	0
112	317	0
335	154	0
36	289	0
302	125	0
286	233	0
56	46	0
281	231	0
234	54	0
66	110	0
219	120	0
193	276	0
263	202	0
298	273	0
50	173	0
292	118	0
36	87	0
82	126	0
338	98	0
254	169	0
83	225	0
170	271	0
30	148	0
241	7	0
21	336	0
221	266	0
285	253	0
287	173	0
323	278	0
254	139	0
206	299	0
249	68	0
63	266	0
318	72	0
155	147	0
52	304	0
189	165	0
120	230	0
279	306	0
156	171	0
45	214	0
190	211	0
195	203	0
29	325	0
319	273	0
277	166	0
312	130	0
260	216	0
246	222	0
103	331	0
307	133	0
234	95	0
147	161	0
10	124	0
184	334	0
336	61	0
238	115	0
49	211	0
330	288	0
51	27	0
314	156	0
37	220	0
304	345	0
260	80	0
168	18	0
122	318	0
146	61	0
131	221	0
66	339	0
35	343	0
135	57	0
282	105	0
114	210	0
261	157	0
239	130	0
307	84	0
335	147	0
181	138	0
114	189	0
309	288	0
28	157	0
215	197	0
46	78	0
232	263	0
291	39	0
173	64	0
250	290	0
21	346	0
322	119	0
337	148	0
67	82	0
242	10	0
152	66	0
270	250	0
72	153	0
319	214	0
164	246	0
28	221	0
63	251	0
291	16	0
80	318	0
306	117	0
34	135	0
48	201	0
148	238	0
281	259	0
205	221	0
244	342	0
56	92	0
174	296	0
325	156	0
83	224	0
199	108	0
74	340	0
306	217	0
0	258	0
102	231	0
173	171	0
214	330	0
320	1	0
219	115	0
208	18	0
35	330	0
328	307	0
113	269	0
70	101	0
240	21	0
185	1	0
174	7	0
298	247	0
246	114	0
196	328	0
35	53	0
253	192	0
334	25	0
14	170	0
277	33	0
85	298	0
321	199	0
153	226	0
168	298	0
291	49	0
46	34	0
76	36	0
143	154	0
12	287	0
20	315	0
154	218	0
208	48	0
38	294	0
336	190	0
203	235	0
156	35	0
337	346	0
242	296	0
320	76	0
26	57	0
165	178	0
280	156	0
102	223	0
127	318	0
184	336	0
212	334	0
155	318	0
71	109	0
97	114	0
160	160	0
237	151	0
5	324	0
178	51	0
178	177	0
75	184	0
25	31	0
61	323	0
304	265	0
246	240	0
105	264	0
70	208	0
87	246	0
166	280	0
212	329	0
3	344	0
38	179	0
225	50	0
101	114	0
301	251	0
281	98	0
208	233	0
10	224	0
328	55	0
35	204	0
17	58	0
3	157	0
137	121	0
129	264	0
0	301	0
308	80	0
104	260	0
163	239	0
152	64	0
39	64	0
251	264	0
148	183	0
285	338	0
248	260	0
78	19	0
168	61	0
305	129	0
229	105	0
113	310	0
170	289	0
323	12	0
234	199	0
281	81	0
31	83	0
315	69	0
120	195	0
203	204	0
253	337	0
